,Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
0,2021-04-16,SHIB-USD,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,161689870,0.0,,,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,-100.0,5522.69
1,2021-04-17,SHIB-USD,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.999999994950485e-06,460833712,100.0,,,,,9.999999974752423e-07,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2,2021-04-18,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,1.999999994950485e-06,142743623,0.0,1.7499999955816743e-06,,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,,
3,2021-04-19,SHIB-USD,1.999999994950485e-06,3.999999989900971e-06,1.999999994950485e-06,3.999999989900971e-06,424418998,100.0,2.8749999927413228e-06,,,,1.999999994950486e-06,0.0,,,,,,,,,,False,0.0,,0,0.0,,
4,2021-04-20,SHIB-USD,3.999999989900971e-06,3.999999989900971e-06,1.999999994950485e-06,1.999999994950485e-06,526088540,-50.0,2.437499993845904e-06,,,,0.0,1.999999994950486e-06,,,,,,,,,,False,0.0,,0,0.0,,
5,2021-04-21,SHIB-USD,1.999999994950485e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,290865031,-50.0,1.7187499956605734e-06,,,,0.0,9.999999974752423e-07,,,,,,,,,,False,0.0,,0,0.0,,
6,2021-04-22,SHIB-USD,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,1.999999994950485e-06,194322190,100.0,1.8593749953055292e-06,,,,9.999999974752423e-07,0.0,,,,,,,,,,False,0.0,,0,0.0,,
7,2021-04-23,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,151001682,-50.0,1.429687496390386e-06,,,,0.0,9.999999974752423e-07,,,,,,,,,,False,0.0,,0,0.0,,
8,2021-04-24,SHIB-USD,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,83694373,0.0,1.2148437469328144e-06,1.500899836210592e-06,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,,
9,2021-04-25,SHIB-USD,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,90558038,0.0,1.1074218722040285e-06,1.4007198684635221e-06,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,,
10,2021-04-26,SHIB-USD,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,102581471,0.0,1.0537109348396356e-06,1.3205758942658662e-06,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,,
11,2021-04-27,SHIB-USD,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,102515602,0.0,1.0268554661574392e-06,1.2564607149077415e-06,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,,
12,2021-04-28,SHIB-USD,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,139690065,0.0,1.013427731816341e-06,1.2051685714212417e-06,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,,
13,2021-04-29,SHIB-USD,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,96378675,0.0,1.0067138646457918e-06,1.1641348566320418e-06,,,0.0,0.0,2.857142849929265e-07,2.857142849929265e-07,1.0,50.0,,,,,,False,0.0,,0,0.0,,
14,2021-04-30,SHIB-USD,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,1.999999994950485e-06,133732362,100.0,1.5033569297981384e-06,1.3313078842957306e-06,,,9.999999974752423e-07,0.0,3.5714285624115803e-07,2.857142849929265e-07,1.2499999999999998,55.55555555555556,,,,,,False,0.0,,0,0.0,,
15,2021-05-01,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,92395224,0.0,1.7516784623743116e-06,1.4650463064266816e-06,,,0.0,0.0,2.857142849929265e-07,2.857142849929265e-07,1.0,50.0,,,,,,False,0.0,,0,0.0,,
16,2021-05-02,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,59652130,0.0,1.8758392286623983e-06,1.5720370441314424e-06,,,0.0,0.0,2.857142849929265e-07,2.857142849929265e-07,1.0,50.0,,,,,,False,0.0,,0,0.0,,
17,2021-05-03,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,40570107,0.0,1.9379196118064416e-06,1.657629634295251e-06,,,0.0,0.0,1.428571424964632e-07,2.857142849929265e-07,0.49999999999999983,33.33333333333333,,,,,,False,0.0,,0,0.0,,
18,2021-05-04,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,64001867,0.0,1.9689598033784633e-06,1.7261037064262979e-06,,,0.0,0.0,1.428571424964632e-07,1.428571424964632e-07,1.0,50.0,,,,,,False,0.0,,0,0.0,,
19,2021-05-05,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,47093779,0.0,1.984479899164474e-06,1.7808829641311353e-06,,,0.0,0.0,1.428571424964632e-07,7.14285712482316e-08,2.0,66.66666666666666,,,,,,False,0.0,,0,0.0,,
20,2021-05-06,SHIB-USD,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,1.999999994950485e-06,27406652,0.0,1.9922399470574796e-06,1.8247063702950054e-06,,,0.0,0.0,7.14285712482316e-08,7.14285712482316e-08,1.0,50.0,,,,,,False,0.0,,0,0.0,,
21,2021-05-07,SHIB-USD,1.999999994950485e-06,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,367358434,50.0,2.496120026585023e-06,2.0597651174585173e-06,,,1.0000001111620809e-06,0.0,1.4285715061695165e-07,0.0,inf,100.0,,,,,,False,0.0,,0,0.0,,
22,2021-05-08,SHIB-USD,3.000000106112566e-06,1.8999999156221747e-05,3.000000106112566e-06,1.5999999959603883e-05,6118033567,433.333,9.248059993094453e-06,4.847812085887591e-06,,,1.2999999853491317e-05,0.0,1.0714285687234742e-06,0.0,inf,100.0,,,,,,False,0.0,,0,0.0,,
23,2021-05-09,SHIB-USD,1.5999999959603883e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.5999999959603883e-05,6171534719,0.0,1.2624029976349168e-05,7.078249660630849e-06,,,0.0,0.0,1.0714285687234742e-06,0.0,inf,100.0,,,,,,False,0.0,,0,0.0,,
